source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-gru-384-2layer-drop0.2-lr0.0005,user-split-gru-384-2layer-drop0.2-lr0.0005,GRU,384,2,0.2,0.0005,40,10,0.84,0.48258021116256716,0.84,0.48258021116256716,0.8553615960099751,0.4833414625943153,343,401,1342868,5248.3798828125,0.6586699998782327,15.104250399999728
overnight-gru-384-2layer-drop0.1-lr0.0003,user-split-gru-384-2layer-drop0.1-lr0.0003,GRU,384,2,0.1,0.0003,40,34,0.8375,0.5281637908518314,0.8375,0.5281637908518314,0.827930174563591,0.6580894557466531,332,401,1342868,5248.3798828125,0.6617599998814209,14.569269899999199
overnight-gru-256-3layer-drop0.35-lr0.001,user-split-gru-256-3layer-drop0.35-lr0.001,GRU,256,3,0.35,0.001,40,16,0.855,0.4916684829350561,0.855,0.4916684829350561,0.9251870324189526,0.3338625283721379,371,401,995092,3890.1923828125,0.6971233332781896,15.38955270000588
overnight-gru-128-3layer-drop0.0-lr0.001,user-split-gru-128-3layer-drop0.0-lr0.001,GRU,128,3,0.0,0.001,40,35,0.825,0.7407979107787832,0.825,0.7407979107787832,0.800498753117207,1.0639285700967038,321,401,251796,986.6923828125,0.41890333329016965,9.371978999995918
overnight-gru-256-2layer-drop0.0-lr0.002,user-split-gru-256-2layer-drop0.0-lr0.002,GRU,256,2,0.0,0.002,40,13,0.8825,0.3634437891840935,0.8825,0.3634437891840935,0.9077306733167082,0.42853421846084166,364,401,600340,2347.8798828125,0.4992800000763964,11.533860100003949
overnight-gru-128-3layer-drop0.1-lr0.0005,user-split-gru-128-3layer-drop0.1-lr0.0005,GRU,128,3,0.1,0.0005,40,26,0.7475,1.180261820461601,0.7475,1.180261820461601,0.8254364089775561,0.6735647044276953,331,401,251796,986.6923828125,0.3906099998857826,9.602933099995425
overnight-gru-128-2layer-drop0.35-lr0.002,user-split-gru-128-2layer-drop0.35-lr0.002,GRU,128,2,0.35,0.002,40,37,0.805,0.7680994492809987,0.805,0.7680994492809987,0.8827930174563591,0.5145923140043035,354,401,152724,599.3798828125,0.335080000028635,8.595679899997776
overnight-gru-128-2layer-drop0.2-lr0.0003,user-split-gru-128-2layer-drop0.2-lr0.0003,GRU,128,2,0.2,0.0003,40,21,0.755,0.7880105483531952,0.755,0.7880105483531952,0.6982543640897756,0.8680500628199066,280,401,152724,599.3798828125,0.33813666668720543,8.671010500002012
overnight-gru-256-1layer-drop0.0-lr0.0003,user-split-gru-256-1layer-drop0.0-lr0.0003,GRU,256,1,0.0,0.0003,40,34,0.69,1.1632440445199608,0.69,1.1632440445199608,0.7281795511221946,0.999702638521456,292,401,205588,805.5673828125,0.3345266668475233,8.183817400000407
overnight-gru-128-3layer-drop0.2-lr0.002,user-split-gru-128-3layer-drop0.2-lr0.002,GRU,128,3,0.2,0.002,40,15,0.805,0.9565559835080057,0.805,0.9565559835080057,0.8553615960099751,0.6015835253526445,343,401,251796,986.6923828125,0.3902099999929002,9.467881900003704
overnight-gru-256-2layer-drop0.0-lr0.001,user-split-gru-256-2layer-drop0.0-lr0.001,GRU,256,2,0.0,0.001,40,36,0.8625,0.4073766518267803,0.8625,0.4073766518267803,0.9077306733167082,0.2733121498109322,364,401,600340,2347.8798828125,0.5037233332889931,11.595452299996396
overnight-gru-128-2layer-drop0.2-lr0.0005,user-split-gru-128-2layer-drop0.2-lr0.0005,GRU,128,2,0.2,0.0005,40,36,0.71,1.0568753588199615,0.71,1.0568753588199615,0.7855361596009975,0.8018319294636981,315,401,152724,599.3798828125,0.34449000013410114,8.436545199998363
overnight-conv1d-64-3layer-drop0.35-lr0.001,user-split-conv1d-64-3layer-drop0.35-lr0.001,Conv1D,64,3,0.35,0.001,35,29,0.9275,0.2846289002895355,0.9275,0.2846289002895355,0.8927680798004988,0.46914116835727954,358,401,27028,115.392578125,0.4566466666195387,7.610082899998815
overnight-gru-256-2layer-drop0.1-lr0.001,user-split-gru-256-2layer-drop0.1-lr0.001,GRU,256,2,0.1,0.001,40,7,0.7825,0.8380354146659375,0.7825,0.8380354146659375,0.8827930174563591,0.5072071050244971,354,401,600340,2347.8798828125,0.5074199999702008,11.863329100000556
overnight-gru-256-2layer-drop0.2-lr0.0003,user-split-gru-256-2layer-drop0.2-lr0.0003,GRU,256,2,0.2,0.0003,40,21,0.7925,0.8761526880599558,0.7925,0.8761526880599558,0.830423940149626,0.5301526443024823,333,401,600340,2347.8798828125,0.49497666671716917,11.68978849999985
overnight-gru-128-2layer-drop0.2-lr0.002,user-split-gru-128-2layer-drop0.2-lr0.002,GRU,128,2,0.2,0.002,40,38,0.835,0.5893057976849377,0.835,0.5893057976849377,0.8503740648379052,0.7052892276696731,341,401,152724,599.3798828125,0.3443200000522969,8.398742400000629
overnight-gru-256-2layer-drop0.2-lr0.002,user-split-gru-256-2layer-drop0.2-lr0.002,GRU,256,2,0.2,0.002,40,35,0.865,0.4273362975707278,0.865,0.4273362975707278,0.8927680798004988,0.3426153838745971,358,401,600340,2347.8798828125,0.5108833332390835,12.674946800005273
overnight-gru-128-2layer-drop0.0-lr0.002,user-split-gru-128-2layer-drop0.0-lr0.002,GRU,128,2,0.0,0.002,40,31,0.8425,0.578781235460192,0.8425,0.578781235460192,0.9152119700748129,0.39329363869740036,367,401,152724,599.3798828125,0.2647500000117967,8.951947800000198
