model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-rnn-256-2layer-drop0.0-lr0.0005,RNN,256,2,0.0,0.0005,30,16,0.20625,2.265746515989304,0.20625,2.265746515989304,203540,799.1298828125,2.758708000183105
overnight-rnn-128-1layer-drop0.0-lr0.001,RNN,128,1,0.0,0.001,30,8,0.2046875,2.16067955493927,0.05,5.17551052570343,19604,79.5673828125,0.9868780005490408
overnight-rnn-128-2layer-drop0.0-lr0.0005,RNN,128,2,0.0,0.0005,30,5,0.196875,2.139183348417282,0.1078125,2.5797544360160827,52628,209.5673828125,2.020851999986917
overnight-rnn-256-1layer-drop0.0-lr0.0005,RNN,256,1,0.0,0.0005,30,5,0.184375,2.126674598455429,0.0984375,2.945120644569397,71956,284.0673828125,1.2795739999273792
overnight-rnn-64-1layer-drop0.0-lr0.003,RNN,64,1,0.0,0.003,30,12,0.184375,2.231409859657288,0.1765625,2.240567576885224,5716,25.3173828125,0.994385999510996
overnight-rnn-64-2layer-drop0.1-lr0.001,RNN,64,2,0.1,0.001,30,4,0.18125,2.2151342809200285,0.0890625,2.4441513419151306,14036,58.8173828125,1.6105059999972582
overnight-rnn-256-2layer-drop0.1-lr0.0005,RNN,256,2,0.1,0.0005,30,6,0.178125,2.309227240085602,0.09375,2.5737688660621645,203540,799.1298828125,2.4954480002634227
overnight-rnn-64-2layer-drop0.1-lr0.003,RNN,64,2,0.1,0.003,30,8,0.1765625,2.319864010810852,0.0921875,2.7828728556633,14036,58.8173828125,1.8364060000749305
overnight-rnn-64-1layer-drop0.0-lr0.0005,RNN,64,1,0.0,0.0005,30,9,0.175,2.1966942489147185,0.146875,2.2439351081848145,5716,25.3173828125,0.8242079999763519
overnight-rnn-64-2layer-drop0.0-lr0.0005,RNN,64,2,0.0,0.0005,30,11,0.1734375,2.2574520468711854,0.1484375,2.314042901992798,14036,58.8173828125,1.6025000001536682
overnight-rnn-64-2layer-drop0.0-lr0.001,RNN,64,2,0.0,0.001,30,2,0.1640625,2.2945441246032714,0.1,3.116281127929688,14036,58.8173828125,1.6635660000611097
overnight-rnn-256-2layer-drop0.1-lr0.001,RNN,256,2,0.1,0.001,30,5,0.1609375,2.335255646705628,0.1390625,2.439071226119995,203540,799.1298828125,2.5376580003649
overnight-rnn-256-1layer-drop0.0-lr0.001,RNN,256,1,0.0,0.001,30,6,0.1515625,2.446472835540772,0.0609375,3.142664647102356,71956,284.0673828125,1.2607579998439178
overnight-rnn-128-2layer-drop0.0-lr0.001,RNN,128,2,0.0,0.001,30,3,0.1359375,2.37390730381012,0.1046875,2.5348451375961303,52628,209.5673828125,1.9482760003302249
overnight-rnn-256-2layer-drop0.1-lr0.003,RNN,256,2,0.1,0.003,30,9,0.1328125,2.619893205165863,0.121875,2.533017885684967,203540,799.1298828125,2.601271999883465
overnight-rnn-128-2layer-drop0.1-lr0.001,RNN,128,2,0.1,0.001,30,5,0.1265625,2.4524072766304017,0.1171875,2.7470349431037904,52628,209.5673828125,1.973870000219904
overnight-rnn-256-2layer-drop0.0-lr0.001,RNN,256,2,0.0,0.001,30,2,0.11875,2.472260022163391,0.0921875,2.7560787081718443,203540,799.1298828125,2.854030000162311
overnight-rnn-64-2layer-drop0.0-lr0.003,RNN,64,2,0.0,0.003,30,2,0.1140625,2.6936613082885743,0.075,2.8606842875480654,14036,58.8173828125,1.673840000294149
overnight-rnn-128-1layer-drop0.0-lr0.003,RNN,128,1,0.0,0.003,30,1,0.1078125,2.557329845428467,0.0859375,2.70003342628479,19604,79.5673828125,1.0190039995359257
overnight-rnn-128-2layer-drop0.1-lr0.003,RNN,128,2,0.1,0.003,30,3,0.1015625,2.665414881706238,0.06875,3.0628926753997803,52628,209.5673828125,1.9286240002838893
